id,b,c,v,t
1016598,19,104,25,"Real KJV text for book 19 104:25"
1016599,19,104,26,"Real KJV text for book 19 104:26"
1016600,19,104,27,"Real KJV text for book 19 104:27"
1016601,19,104,28,"Real KJV text for book 19 104:28"
1016602,19,104,29,"Real KJV text for book 19 104:29"
1016603,19,104,30,"Real KJV text for book 19 104:30"
1016604,19,104,31,"Real KJV text for book 19 104:31"
1016605,19,104,32,"Real KJV text for book 19 104:32"
1016606,19,104,33,"Real KJV text for book 19 104:33"
1016607,19,104,34,"Real KJV text for book 19 104:34"
1016608,19,104,35,"Real KJV text for book 19 104:35"
1016609,19,105,1,"Real KJV text for book 19 105:1"
1016610,19,105,2,"Real KJV text for book 19 105:2"
1016611,19,105,3,"Real KJV text for book 19 105:3"
1016612,19,105,4,"Real KJV text for book 19 105:4"
1016613,19,105,5,"Real KJV text for book 19 105:5"
1016614,19,105,6,"Real KJV text for book 19 105:6"
1016615,19,105,7,"Real KJV text for book 19 105:7"
1016616,19,105,8,"Real KJV text for book 19 105:8"
1016617,19,105,9,"Real KJV text for book 19 105:9"
1016618,19,105,10,"Real KJV text for book 19 105:10"
1016619,19,105,11,"Real KJV text for book 19 105:11"
1016620,19,105,12,"Real KJV text for book 19 105:12"
1016621,19,105,13,"Real KJV text for book 19 105:13"
1016622,19,105,14,"Real KJV text for book 19 105:14"
1016623,19,105,15,"Real KJV text for book 19 105:15"
1016624,19,105,16,"Real KJV text for book 19 105:16"
1016625,19,105,17,"Real KJV text for book 19 105:17"
1016626,19,105,18,"Real KJV text for book 19 105:18"
1016627,19,105,19,"Real KJV text for book 19 105:19"
1016628,19,105,20,"Real KJV text for book 19 105:20"
1016629,19,105,21,"Real KJV text for book 19 105:21"
1016630,19,105,22,"Real KJV text for book 19 105:22"
1016631,19,105,23,"Real KJV text for book 19 105:23"
1016632,19,105,24,"Real KJV text for book 19 105:24"
1016633,19,105,25,"Real KJV text for book 19 105:25"
1016634,19,105,26,"Real KJV text for book 19 105:26"
1016635,19,105,27,"Real KJV text for book 19 105:27"
1016636,19,105,28,"Real KJV text for book 19 105:28"
1016637,19,105,29,"Real KJV text for book 19 105:29"
1016638,19,105,30,"Real KJV text for book 19 105:30"
1016639,19,105,31,"Real KJV text for book 19 105:31"
1016640,19,105,32,"Real KJV text for book 19 105:32"
1016641,19,105,33,"Real KJV text for book 19 105:33"
1016642,19,105,34,"Real KJV text for book 19 105:34"
1016643,19,105,35,"Real KJV text for book 19 105:35"
1016644,19,105,36,"Real KJV text for book 19 105:36"
1016645,19,105,37,"Real KJV text for book 19 105:37"
1016646,19,105,38,"Real KJV text for book 19 105:38"
1016647,19,105,39,"Real KJV text for book 19 105:39"
1016648,19,105,40,"Real KJV text for book 19 105:40"
1016649,19,105,41,"Real KJV text for book 19 105:41"
1016650,19,105,42,"Real KJV text for book 19 105:42"
1016651,19,105,43,"Real KJV text for book 19 105:43"
1016652,19,105,44,"Real KJV text for book 19 105:44"
1016653,19,105,45,"Real KJV text for book 19 105:45"
1016654,19,106,1,"Real KJV text for book 19 106:1"
1016655,19,106,2,"Real KJV text for book 19 106:2"
1016656,19,106,3,"Real KJV text for book 19 106:3"
1016657,19,106,4,"Real KJV text for book 19 106:4"
1016658,19,106,5,"Real KJV text for book 19 106:5"
1016659,19,106,6,"Real KJV text for book 19 106:6"
1016660,19,106,7,"Real KJV text for book 19 106:7"
1016661,19,106,8,"Real KJV text for book 19 106:8"
1016662,19,106,9,"Real KJV text for book 19 106:9"
1016663,19,106,10,"Real KJV text for book 19 106:10"
1016664,19,106,11,"Real KJV text for book 19 106:11"
1016665,19,106,12,"Real KJV text for book 19 106:12"
1016666,19,106,13,"Real KJV text for book 19 106:13"
1016667,19,106,14,"Real KJV text for book 19 106:14"
1016668,19,106,15,"Real KJV text for book 19 106:15"
1016669,19,106,16,"Real KJV text for book 19 106:16"
1016670,19,106,17,"Real KJV text for book 19 106:17"
1016671,19,106,18,"Real KJV text for book 19 106:18"
1016672,19,106,19,"Real KJV text for book 19 106:19"
1016673,19,106,20,"Real KJV text for book 19 106:20"
1016674,19,106,21,"Real KJV text for book 19 106:21"
1016675,19,106,22,"Real KJV text for book 19 106:22"
1016676,19,106,23,"Real KJV text for book 19 106:23"
1016677,19,106,24,"Real KJV text for book 19 106:24"
1016678,19,106,25,"Real KJV text for book 19 106:25"
1016679,19,106,26,"Real KJV text for book 19 106:26"
1016680,19,106,27,"Real KJV text for book 19 106:27"
1016681,19,106,28,"Real KJV text for book 19 106:28"
1016682,19,106,29,"Real KJV text for book 19 106:29"
1016683,19,106,30,"Real KJV text for book 19 106:30"
1016684,19,106,31,"Real KJV text for book 19 106:31"
1016685,19,106,32,"Real KJV text for book 19 106:32"
1016686,19,106,33,"Real KJV text for book 19 106:33"
1016687,19,106,34,"Real KJV text for book 19 106:34"
1016688,19,106,35,"Real KJV text for book 19 106:35"
1016689,19,106,36,"Real KJV text for book 19 106:36"
1016690,19,106,37,"Real KJV text for book 19 106:37"
1016691,19,106,38,"Real KJV text for book 19 106:38"
1016692,19,106,39,"Real KJV text for book 19 106:39"
1016693,19,106,40,"Real KJV text for book 19 106:40"
1016694,19,106,41,"Real KJV text for book 19 106:41"
1016695,19,106,42,"Real KJV text for book 19 106:42"
1016696,19,106,43,"Real KJV text for book 19 106:43"
1016697,19,106,44,"Real KJV text for book 19 106:44"
1016698,19,106,45,"Real KJV text for book 19 106:45"
1016699,19,106,46,"Real KJV text for book 19 106:46"
1016700,19,106,47,"Real KJV text for book 19 106:47"
1016701,19,106,48,"Real KJV text for book 19 106:48"
1016702,19,107,1,"Real KJV text for book 19 107:1"
1016703,19,107,2,"Real KJV text for book 19 107:2"
1016704,19,107,3,"Real KJV text for book 19 107:3"
1016705,19,107,4,"Real KJV text for book 19 107:4"
1016706,19,107,5,"Real KJV text for book 19 107:5"
1016707,19,107,6,"Real KJV text for book 19 107:6"
1016708,19,107,7,"Real KJV text for book 19 107:7"
1016709,19,107,8,"Real KJV text for book 19 107:8"
1016710,19,107,9,"Real KJV text for book 19 107:9"
1016711,19,107,10,"Real KJV text for book 19 107:10"
1016712,19,107,11,"Real KJV text for book 19 107:11"
1016713,19,107,12,"Real KJV text for book 19 107:12"
1016714,19,107,13,"Real KJV text for book 19 107:13"
1016715,19,107,14,"Real KJV text for book 19 107:14"
1016716,19,107,15,"Real KJV text for book 19 107:15"
1016717,19,107,16,"Real KJV text for book 19 107:16"
1016718,19,107,17,"Real KJV text for book 19 107:17"
1016719,19,107,18,"Real KJV text for book 19 107:18"
1016720,19,107,19,"Real KJV text for book 19 107:19"
1016721,19,107,20,"Real KJV text for book 19 107:20"
1016722,19,107,21,"Real KJV text for book 19 107:21"
1016723,19,107,22,"Real KJV text for book 19 107:22"
1016724,19,107,23,"Real KJV text for book 19 107:23"
1016725,19,107,24,"Real KJV text for book 19 107:24"
1016726,19,107,25,"Real KJV text for book 19 107:25"
1016727,19,107,26,"Real KJV text for book 19 107:26"
1016728,19,107,27,"Real KJV text for book 19 107:27"
1016729,19,107,28,"Real KJV text for book 19 107:28"
1016730,19,107,29,"Real KJV text for book 19 107:29"
1016731,19,107,30,"Real KJV text for book 19 107:30"
1016732,19,107,31,"Real KJV text for book 19 107:31"
1016733,19,107,32,"Real KJV text for book 19 107:32"
1016734,19,107,33,"Real KJV text for book 19 107:33"
1016735,19,107,34,"Real KJV text for book 19 107:34"
1016736,19,107,35,"Real KJV text for book 19 107:35"
1016737,19,107,36,"Real KJV text for book 19 107:36"
1016738,19,107,37,"Real KJV text for book 19 107:37"
1016739,19,107,38,"Real KJV text for book 19 107:38"
1016740,19,107,39,"Real KJV text for book 19 107:39"
1016741,19,107,40,"Real KJV text for book 19 107:40"
1016742,19,107,41,"Real KJV text for book 19 107:41"
1016743,19,107,42,"Real KJV text for book 19 107:42"
1016744,19,107,43,"Real KJV text for book 19 107:43"
1016745,19,108,1,"Real KJV text for book 19 108:1"
1016746,19,108,2,"Real KJV text for book 19 108:2"
1016747,19,108,3,"Real KJV text for book 19 108:3"
1016748,19,108,4,"Real KJV text for book 19 108:4"
1016749,19,108,5,"Real KJV text for book 19 108:5"
1016750,19,108,6,"Real KJV text for book 19 108:6"
1016751,19,108,7,"Real KJV text for book 19 108:7"
1016752,19,108,8,"Real KJV text for book 19 108:8"
1016753,19,108,9,"Real KJV text for book 19 108:9"
1016754,19,108,10,"Real KJV text for book 19 108:10"
1016755,19,108,11,"Real KJV text for book 19 108:11"
1016756,19,108,12,"Real KJV text for book 19 108:12"
1016757,19,108,13,"Real KJV text for book 19 108:13"
1016758,19,109,1,"Real KJV text for book 19 109:1"
1016759,19,109,2,"Real KJV text for book 19 109:2"
1016760,19,109,3,"Real KJV text for book 19 109:3"
1016761,19,109,4,"Real KJV text for book 19 109:4"
1016762,19,109,5,"Real KJV text for book 19 109:5"
1016763,19,109,6,"Real KJV text for book 19 109:6"
1016764,19,109,7,"Real KJV text for book 19 109:7"
1016765,19,109,8,"Real KJV text for book 19 109:8"
1016766,19,109,9,"Real KJV text for book 19 109:9"
1016767,19,109,10,"Real KJV text for book 19 109:10"
1016768,19,109,11,"Real KJV text for book 19 109:11"
1016769,19,109,12,"Real KJV text for book 19 109:12"
1016770,19,109,13,"Real KJV text for book 19 109:13"
1016771,19,109,14,"Real KJV text for book 19 109:14"
1016772,19,109,15,"Real KJV text for book 19 109:15"
1016773,19,109,16,"Real KJV text for book 19 109:16"
1016774,19,109,17,"Real KJV text for book 19 109:17"
1016775,19,109,18,"Real KJV text for book 19 109:18"
1016776,19,109,19,"Real KJV text for book 19 109:19"
1016777,19,109,20,"Real KJV text for book 19 109:20"
1016778,19,109,21,"Real KJV text for book 19 109:21"
1016779,19,109,22,"Real KJV text for book 19 109:22"
1016780,19,109,23,"Real KJV text for book 19 109:23"
1016781,19,109,24,"Real KJV text for book 19 109:24"
1016782,19,109,25,"Real KJV text for book 19 109:25"
1016783,19,109,26,"Real KJV text for book 19 109:26"
1016784,19,109,27,"Real KJV text for book 19 109:27"
1016785,19,109,28,"Real KJV text for book 19 109:28"
1016786,19,109,29,"Real KJV text for book 19 109:29"
1016787,19,109,30,"Real KJV text for book 19 109:30"
1016788,19,109,31,"Real KJV text for book 19 109:31"
1016789,19,110,1,"Real KJV text for book 19 110:1"
1016790,19,110,2,"Real KJV text for book 19 110:2"
1016791,19,110,3,"Real KJV text for book 19 110:3"
1016792,19,110,4,"Real KJV text for book 19 110:4"
1016793,19,110,5,"Real KJV text for book 19 110:5"
1016794,19,110,6,"Real KJV text for book 19 110:6"
1016795,19,110,7,"Real KJV text for book 19 110:7"
1016796,19,111,1,"Real KJV text for book 19 111:1"
1016797,19,111,2,"Real KJV text for book 19 111:2"
1016798,19,111,3,"Real KJV text for book 19 111:3"
1016799,19,111,4,"Real KJV text for book 19 111:4"
1016800,19,111,5,"Real KJV text for book 19 111:5"
1016801,19,111,6,"Real KJV text for book 19 111:6"
1016802,19,111,7,"Real KJV text for book 19 111:7"
1016803,19,111,8,"Real KJV text for book 19 111:8"
1016804,19,111,9,"Real KJV text for book 19 111:9"
1016805,19,111,10,"Real KJV text for book 19 111:10"
1016806,19,112,1,"Real KJV text for book 19 112:1"
1016807,19,112,2,"Real KJV text for book 19 112:2"
1016808,19,112,3,"Real KJV text for book 19 112:3"
1016809,19,112,4,"Real KJV text for book 19 112:4"
1016810,19,112,5,"Real KJV text for book 19 112:5"
1016811,19,112,6,"Real KJV text for book 19 112:6"
1016812,19,112,7,"Real KJV text for book 19 112:7"
1016813,19,112,8,"Real KJV text for book 19 112:8"
1016814,19,112,9,"Real KJV text for book 19 112:9"
1016815,19,112,10,"Real KJV text for book 19 112:10"
1016816,19,113,1,"Real KJV text for book 19 113:1"
1016817,19,113,2,"Real KJV text for book 19 113:2"
1016818,19,113,3,"Real KJV text for book 19 113:3"
1016819,19,113,4,"Real KJV text for book 19 113:4"
1016820,19,113,5,"Real KJV text for book 19 113:5"
1016821,19,113,6,"Real KJV text for book 19 113:6"
1016822,19,113,7,"Real KJV text for book 19 113:7"
1016823,19,113,8,"Real KJV text for book 19 113:8"
1016824,19,113,9,"Real KJV text for book 19 113:9"
1016825,19,114,1,"Real KJV text for book 19 114:1"
1016826,19,114,2,"Real KJV text for book 19 114:2"
1016827,19,114,3,"Real KJV text for book 19 114:3"
1016828,19,114,4,"Real KJV text for book 19 114:4"
1016829,19,114,5,"Real KJV text for book 19 114:5"
1016830,19,114,6,"Real KJV text for book 19 114:6"
1016831,19,114,7,"Real KJV text for book 19 114:7"
1016832,19,114,8,"Real KJV text for book 19 114:8"
1016833,19,115,1,"Real KJV text for book 19 115:1"
1016834,19,115,2,"Real KJV text for book 19 115:2"
1016835,19,115,3,"Real KJV text for book 19 115:3"
1016836,19,115,4,"Real KJV text for book 19 115:4"
1016837,19,115,5,"Real KJV text for book 19 115:5"
1016838,19,115,6,"Real KJV text for book 19 115:6"
1016839,19,115,7,"Real KJV text for book 19 115:7"
1016840,19,115,8,"Real KJV text for book 19 115:8"
1016841,19,115,9,"Real KJV text for book 19 115:9"
1016842,19,115,10,"Real KJV text for book 19 115:10"
1016843,19,115,11,"Real KJV text for book 19 115:11"
1016844,19,115,12,"Real KJV text for book 19 115:12"
1016845,19,115,13,"Real KJV text for book 19 115:13"
1016846,19,115,14,"Real KJV text for book 19 115:14"
1016847,19,115,15,"Real KJV text for book 19 115:15"
1016848,19,115,16,"Real KJV text for book 19 115:16"
1016849,19,115,17,"Real KJV text for book 19 115:17"
1016850,19,115,18,"Real KJV text for book 19 115:18"
1016851,19,116,1,"Real KJV text for book 19 116:1"
1016852,19,116,2,"Real KJV text for book 19 116:2"
1016853,19,116,3,"Real KJV text for book 19 116:3"
1016854,19,116,4,"Real KJV text for book 19 116:4"
1016855,19,116,5,"Real KJV text for book 19 116:5"
1016856,19,116,6,"Real KJV text for book 19 116:6"
1016857,19,116,7,"Real KJV text for book 19 116:7"
1016858,19,116,8,"Real KJV text for book 19 116:8"
1016859,19,116,9,"Real KJV text for book 19 116:9"
1016860,19,116,10,"Real KJV text for book 19 116:10"
1016861,19,116,11,"Real KJV text for book 19 116:11"
1016862,19,116,12,"Real KJV text for book 19 116:12"
1016863,19,116,13,"Real KJV text for book 19 116:13"
1016864,19,116,14,"Real KJV text for book 19 116:14"
1016865,19,116,15,"Real KJV text for book 19 116:15"
1016866,19,116,16,"Real KJV text for book 19 116:16"
1016867,19,116,17,"Real KJV text for book 19 116:17"
1016868,19,116,18,"Real KJV text for book 19 116:18"
1016869,19,116,19,"Real KJV text for book 19 116:19"
1016870,19,117,1,"Real KJV text for book 19 117:1"
1016871,19,117,2,"Real KJV text for book 19 117:2"
1016872,19,118,1,"Real KJV text for book 19 118:1"
1016873,19,118,2,"Real KJV text for book 19 118:2"
1016874,19,118,3,"Real KJV text for book 19 118:3"
1016875,19,118,4,"Real KJV text for book 19 118:4"
1016876,19,118,5,"Real KJV text for book 19 118:5"
1016877,19,118,6,"Real KJV text for book 19 118:6"
1016878,19,118,7,"Real KJV text for book 19 118:7"
1016879,19,118,8,"Real KJV text for book 19 118:8"
1016880,19,118,9,"Real KJV text for book 19 118:9"
1016881,19,118,10,"Real KJV text for book 19 118:10"
1016882,19,118,11,"Real KJV text for book 19 118:11"
1016883,19,118,12,"Real KJV text for book 19 118:12"
1016884,19,118,13,"Real KJV text for book 19 118:13"
1016885,19,118,14,"Real KJV text for book 19 118:14"
1016886,19,118,15,"Real KJV text for book 19 118:15"
1016887,19,118,16,"Real KJV text for book 19 118:16"
1016888,19,118,17,"Real KJV text for book 19 118:17"
1016889,19,118,18,"Real KJV text for book 19 118:18"
1016890,19,118,19,"Real KJV text for book 19 118:19"
1016891,19,118,20,"Real KJV text for book 19 118:20"
1016892,19,118,21,"Real KJV text for book 19 118:21"
1016893,19,118,22,"Real KJV text for book 19 118:22"
1016894,19,118,23,"Real KJV text for book 19 118:23"
1016895,19,118,24,"Real KJV text for book 19 118:24"
1016896,19,118,25,"Real KJV text for book 19 118:25"
1016897,19,118,26,"Real KJV text for book 19 118:26"
1016898,19,118,27,"Real KJV text for book 19 118:27"
1016899,19,118,28,"Real KJV text for book 19 118:28"
1016900,19,118,29,"Real KJV text for book 19 118:29"
1016901,19,119,1,"Real KJV text for book 19 119:1"
1016902,19,119,2,"Real KJV text for book 19 119:2"
1016903,19,119,3,"Real KJV text for book 19 119:3"
1016904,19,119,4,"Real KJV text for book 19 119:4"
1016905,19,119,5,"Real KJV text for book 19 119:5"
1016906,19,119,6,"Real KJV text for book 19 119:6"
1016907,19,119,7,"Real KJV text for book 19 119:7"
1016908,19,119,8,"Real KJV text for book 19 119:8"
1016909,19,119,9,"Real KJV text for book 19 119:9"
1016910,19,119,10,"Real KJV text for book 19 119:10"
1016911,19,119,11,"Real KJV text for book 19 119:11"
1016912,19,119,12,"Real KJV text for book 19 119:12"
1016913,19,119,13,"Real KJV text for book 19 119:13"
1016914,19,119,14,"Real KJV text for book 19 119:14"
1016915,19,119,15,"Real KJV text for book 19 119:15"
1016916,19,119,16,"Real KJV text for book 19 119:16"
1016917,19,119,17,"Real KJV text for book 19 119:17"
1016918,19,119,18,"Real KJV text for book 19 119:18"
1016919,19,119,19,"Real KJV text for book 19 119:19"
1016920,19,119,20,"Real KJV text for book 19 119:20"
1016921,19,119,21,"Real KJV text for book 19 119:21"
1016922,19,119,22,"Real KJV text for book 19 119:22"
1016923,19,119,23,"Real KJV text for book 19 119:23"
1016924,19,119,24,"Real KJV text for book 19 119:24"
1016925,19,119,25,"Real KJV text for book 19 119:25"
1016926,19,119,26,"Real KJV text for book 19 119:26"
1016927,19,119,27,"Real KJV text for book 19 119:27"
1016928,19,119,28,"Real KJV text for book 19 119:28"
1016929,19,119,29,"Real KJV text for book 19 119:29"
1016930,19,119,30,"Real KJV text for book 19 119:30"
1016931,19,119,31,"Real KJV text for book 19 119:31"
1016932,19,119,32,"Real KJV text for book 19 119:32"
1016933,19,119,33,"Real KJV text for book 19 119:33"
1016934,19,119,34,"Real KJV text for book 19 119:34"
1016935,19,119,35,"Real KJV text for book 19 119:35"
1016936,19,119,36,"Real KJV text for book 19 119:36"
1016937,19,119,37,"Real KJV text for book 19 119:37"
1016938,19,119,38,"Real KJV text for book 19 119:38"
1016939,19,119,39,"Real KJV text for book 19 119:39"
1016940,19,119,40,"Real KJV text for book 19 119:40"
1016941,19,119,41,"Real KJV text for book 19 119:41"
1016942,19,119,42,"Real KJV text for book 19 119:42"
1016943,19,119,43,"Real KJV text for book 19 119:43"
1016944,19,119,44,"Real KJV text for book 19 119:44"
1016945,19,119,45,"Real KJV text for book 19 119:45"
1016946,19,119,46,"Real KJV text for book 19 119:46"
1016947,19,119,47,"Real KJV text for book 19 119:47"
1016948,19,119,48,"Real KJV text for book 19 119:48"
1016949,19,119,49,"Real KJV text for book 19 119:49"
1016950,19,119,50,"Real KJV text for book 19 119:50"
1016951,19,119,51,"Real KJV text for book 19 119:51"
1016952,19,119,52,"Real KJV text for book 19 119:52"
1016953,19,119,53,"Real KJV text for book 19 119:53"
1016954,19,119,54,"Real KJV text for book 19 119:54"
1016955,19,119,55,"Real KJV text for book 19 119:55"
1016956,19,119,56,"Real KJV text for book 19 119:56"
1016957,19,119,57,"Real KJV text for book 19 119:57"
1016958,19,119,58,"Real KJV text for book 19 119:58"
1016959,19,119,59,"Real KJV text for book 19 119:59"
1016960,19,119,60,"Real KJV text for book 19 119:60"
1016961,19,119,61,"Real KJV text for book 19 119:61"
1016962,19,119,62,"Real KJV text for book 19 119:62"
1016963,19,119,63,"Real KJV text for book 19 119:63"
1016964,19,119,64,"Real KJV text for book 19 119:64"
1016965,19,119,65,"Real KJV text for book 19 119:65"
1016966,19,119,66,"Real KJV text for book 19 119:66"
1016967,19,119,67,"Real KJV text for book 19 119:67"
1016968,19,119,68,"Real KJV text for book 19 119:68"
1016969,19,119,69,"Real KJV text for book 19 119:69"
1016970,19,119,70,"Real KJV text for book 19 119:70"
1016971,19,119,71,"Real KJV text for book 19 119:71"
1016972,19,119,72,"Real KJV text for book 19 119:72"
1016973,19,119,73,"Real KJV text for book 19 119:73"
1016974,19,119,74,"Real KJV text for book 19 119:74"
1016975,19,119,75,"Real KJV text for book 19 119:75"
1016976,19,119,76,"Real KJV text for book 19 119:76"
1016977,19,119,77,"Real KJV text for book 19 119:77"
1016978,19,119,78,"Real KJV text for book 19 119:78"
1016979,19,119,79,"Real KJV text for book 19 119:79"
1016980,19,119,80,"Real KJV text for book 19 119:80"
1016981,19,119,81,"Real KJV text for book 19 119:81"
1016982,19,119,82,"Real KJV text for book 19 119:82"
1016983,19,119,83,"Real KJV text for book 19 119:83"
1016984,19,119,84,"Real KJV text for book 19 119:84"
1016985,19,119,85,"Real KJV text for book 19 119:85"
1016986,19,119,86,"Real KJV text for book 19 119:86"
1016987,19,119,87,"Real KJV text for book 19 119:87"
1016988,19,119,88,"Real KJV text for book 19 119:88"
1016989,19,119,89,"Real KJV text for book 19 119:89"
1016990,19,119,90,"Real KJV text for book 19 119:90"
1016991,19,119,91,"Real KJV text for book 19 119:91"
1016992,19,119,92,"Real KJV text for book 19 119:92"
1016993,19,119,93,"Real KJV text for book 19 119:93"
1016994,19,119,94,"Real KJV text for book 19 119:94"
1016995,19,119,95,"Real KJV text for book 19 119:95"
1016996,19,119,96,"Real KJV text for book 19 119:96"
1016997,19,119,97,"Real KJV text for book 19 119:97"
1016998,19,119,98,"Real KJV text for book 19 119:98"
1016999,19,119,99,"Real KJV text for book 19 119:99"
1017000,19,119,100,"Real KJV text for book 19 119:100"
1017001,19,119,101,"Real KJV text for book 19 119:101"
1017002,19,119,102,"Real KJV text for book 19 119:102"
1017003,19,119,103,"Real KJV text for book 19 119:103"
1017004,19,119,104,"Real KJV text for book 19 119:104"
1017005,19,119,105,"Real KJV text for book 19 119:105"
1017006,19,119,106,"Real KJV text for book 19 119:106"
1017007,19,119,107,"Real KJV text for book 19 119:107"
1017008,19,119,108,"Real KJV text for book 19 119:108"
1017009,19,119,109,"Real KJV text for book 19 119:109"
1017010,19,119,110,"Real KJV text for book 19 119:110"
1017011,19,119,111,"Real KJV text for book 19 119:111"
1017012,19,119,112,"Real KJV text for book 19 119:112"
1017013,19,119,113,"Real KJV text for book 19 119:113"
1017014,19,119,114,"Real KJV text for book 19 119:114"
1017015,19,119,115,"Real KJV text for book 19 119:115"
1017016,19,119,116,"Real KJV text for book 19 119:116"
1017017,19,119,117,"Real KJV text for book 19 119:117"
1017018,19,119,118,"Real KJV text for book 19 119:118"
1017019,19,119,119,"Real KJV text for book 19 119:119"
1017020,19,119,120,"Real KJV text for book 19 119:120"
1017021,19,119,121,"Real KJV text for book 19 119:121"
1017022,19,119,122,"Real KJV text for book 19 119:122"
1017023,19,119,123,"Real KJV text for book 19 119:123"
1017024,19,119,124,"Real KJV text for book 19 119:124"
1017025,19,119,125,"Real KJV text for book 19 119:125"
1017026,19,119,126,"Real KJV text for book 19 119:126"
1017027,19,119,127,"Real KJV text for book 19 119:127"
1017028,19,119,128,"Real KJV text for book 19 119:128"
1017029,19,119,129,"Real KJV text for book 19 119:129"
1017030,19,119,130,"Real KJV text for book 19 119:130"
1017031,19,119,131,"Real KJV text for book 19 119:131"
1017032,19,119,132,"Real KJV text for book 19 119:132"
1017033,19,119,133,"Real KJV text for book 19 119:133"
1017034,19,119,134,"Real KJV text for book 19 119:134"
1017035,19,119,135,"Real KJV text for book 19 119:135"
1017036,19,119,136,"Real KJV text for book 19 119:136"
1017037,19,119,137,"Real KJV text for book 19 119:137"
1017038,19,119,138,"Real KJV text for book 19 119:138"
1017039,19,119,139,"Real KJV text for book 19 119:139"
1017040,19,119,140,"Real KJV text for book 19 119:140"
1017041,19,119,141,"Real KJV text for book 19 119:141"
1017042,19,119,142,"Real KJV text for book 19 119:142"
1017043,19,119,143,"Real KJV text for book 19 119:143"
1017044,19,119,144,"Real KJV text for book 19 119:144"
1017045,19,119,145,"Real KJV text for book 19 119:145"
1017046,19,119,146,"Real KJV text for book 19 119:146"
1017047,19,119,147,"Real KJV text for book 19 119:147"
1017048,19,119,148,"Real KJV text for book 19 119:148"
1017049,19,119,149,"Real KJV text for book 19 119:149"
1017050,19,119,150,"Real KJV text for book 19 119:150"
1017051,19,119,151,"Real KJV text for book 19 119:151"
1017052,19,119,152,"Real KJV text for book 19 119:152"
1017053,19,119,153,"Real KJV text for book 19 119:153"
1017054,19,119,154,"Real KJV text for book 19 119:154"
1017055,19,119,155,"Real KJV text for book 19 119:155"
1017056,19,119,156,"Real KJV text for book 19 119:156"
1017057,19,119,157,"Real KJV text for book 19 119:157"
1017058,19,119,158,"Real KJV text for book 19 119:158"
1017059,19,119,159,"Real KJV text for book 19 119:159"
1017060,19,119,160,"Real KJV text for book 19 119:160"
1017061,19,119,161,"Real KJV text for book 19 119:161"
1017062,19,119,162,"Real KJV text for book 19 119:162"
1017063,19,119,163,"Real KJV text for book 19 119:163"
1017064,19,119,164,"Real KJV text for book 19 119:164"
1017065,19,119,165,"Real KJV text for book 19 119:165"
1017066,19,119,166,"Real KJV text for book 19 119:166"
1017067,19,119,167,"Real KJV text for book 19 119:167"
1017068,19,119,168,"Real KJV text for book 19 119:168"
1017069,19,119,169,"Real KJV text for book 19 119:169"
1017070,19,119,170,"Real KJV text for book 19 119:170"
1017071,19,119,171,"Real KJV text for book 19 119:171"
1017072,19,119,172,"Real KJV text for book 19 119:172"
1017073,19,119,173,"Real KJV text for book 19 119:173"
1017074,19,119,174,"Real KJV text for book 19 119:174"
1017075,19,119,175,"Real KJV text for book 19 119:175"
1017076,19,119,176,"Real KJV text for book 19 119:176"
1017077,19,120,1,"Real KJV text for book 19 120:1"
1017078,19,120,2,"Real KJV text for book 19 120:2"
1017079,19,120,3,"Real KJV text for book 19 120:3"
1017080,19,120,4,"Real KJV text for book 19 120:4"
1017081,19,120,5,"Real KJV text for book 19 120:5"
1017082,19,120,6,"Real KJV text for book 19 120:6"
1017083,19,120,7,"Real KJV text for book 19 120:7"
1017084,19,121,1,"Real KJV text for book 19 121:1"
1017085,19,121,2,"Real KJV text for book 19 121:2"
1017086,19,121,3,"Real KJV text for book 19 121:3"
1017087,19,121,4,"Real KJV text for book 19 121:4"
1017088,19,121,5,"Real KJV text for book 19 121:5"
1017089,19,121,6,"Real KJV text for book 19 121:6"
1017090,19,121,7,"Real KJV text for book 19 121:7"
1017091,19,121,8,"Real KJV text for book 19 121:8"
1017092,19,122,1,"Real KJV text for book 19 122:1"
1017093,19,122,2,"Real KJV text for book 19 122:2"
1017094,19,122,3,"Real KJV text for book 19 122:3"
1017095,19,122,4,"Real KJV text for book 19 122:4"
1017096,19,122,5,"Real KJV text for book 19 122:5"
1017097,19,122,6,"Real KJV text for book 19 122:6"
1017098,19,122,7,"Real KJV text for book 19 122:7"
1017099,19,122,8,"Real KJV text for book 19 122:8"
1017100,19,122,9,"Real KJV text for book 19 122:9"
1017101,19,123,1,"Real KJV text for book 19 123:1"
1017102,19,123,2,"Real KJV text for book 19 123:2"
1017103,19,123,3,"Real KJV text for book 19 123:3"
1017104,19,123,4,"Real KJV text for book 19 123:4"
1017105,19,124,1,"Real KJV text for book 19 124:1"
1017106,19,124,2,"Real KJV text for book 19 124:2"
1017107,19,124,3,"Real KJV text for book 19 124:3"
1017108,19,124,4,"Real KJV text for book 19 124:4"
1017109,19,124,5,"Real KJV text for book 19 124:5"
1017110,19,124,6,"Real KJV text for book 19 124:6"
1017111,19,124,7,"Real KJV text for book 19 124:7"
1017112,19,124,8,"Real KJV text for book 19 124:8"
1017113,19,125,1,"Real KJV text for book 19 125:1"
1017114,19,125,2,"Real KJV text for book 19 125:2"
1017115,19,125,3,"Real KJV text for book 19 125:3"
